CASE 1 (x1 = 1, x2 = 5):
     x1        x2    f(x1, x2)
4.15789  20.3024     -19.7342
3.94697  20.3705     -20.8401
5.1578   25.2343     -23.2445
4.91838  25.2942     -24.9098
5.06696  26.3013     -25.2568
5.11488  26.2942     -25.5026
5.14478  26.3602     -25.522
5.12937  26.3672     -25.5428
5.16344  26.4467     -25.5655
5.14658  26.4539     -25.59
5.18574  26.5505     -25.6169
5.16726  26.558      -25.6459
5.21856  26.6969     -25.683
5.1965   26.7051     -25.7234
5.29815  27.0337     -25.8045
5.26378  27.0443     -25.8957
5.80053  29.4094     -26.5468
5.73494  29.425      -26.8484
5.73328  29.4498     -26.8523
5.73991  29.4503     -26.8561
5.73842  29.4769     -26.8602
5.74519  29.4773     -26.8643
5.74436  29.5111     -26.8695
5.75181  29.5113     -26.8745
5.7539   29.5714     -26.8836
5.76347  29.5711     -26.8922
5.79724  29.8388     -26.9329
5.81566  29.8365     -26.9676
5.84638  29.9283     -26.9804
5.83476  29.9321     -26.9934
6.09416  31.2107     -27.2654
6.08807  31.2129     -27.2692
6.12424  31.3405     -27.2797
6.11398  31.3434     -27.29
6.25538  32.0872     -27.3797
6.26102  32.0865     -27.3829
6.33834  32.419      -27.3986
6.32737  32.4215     -27.4104
6.33327  32.4722     -27.4122
6.33726  32.4717     -27.4138
6.37339  32.6206     -27.4187
6.3671   32.6221     -27.4227
6.3671   32.6292     -27.4229
6.36848  32.6292     -27.4231
6.36919  32.6422     -27.4234
6.37104  32.6421     -27.4237
6.37247  32.6604     -27.4242
6.3746   32.6602     -27.4247
6.39736  32.802      -27.4282
6.40248  32.8012     -27.4309
6.41039  32.8291     -27.4315
6.40817  32.8298     -27.432
6.41432  32.8749     -27.4329
6.41701  32.8745     -27.4336
6.45261  33.0334     -27.4363
6.44868  33.0343     -27.4379
6.44854  33.035      -27.4379
6.44883  33.035      -27.4379
6.44869  33.0358     -27.4379
6.449    33.0359     -27.4379
6.44886  33.0369     -27.4379
6.44919  33.0369     -27.4379
6.44907  33.0381     -27.438
6.44944  33.0382     -27.438
6.44935  33.0399     -27.438
6.44977  33.0399     -27.438
6.44979  33.0428     -27.438
6.45033  33.0428     -27.4381
6.45125  33.0523     -27.4382
6.4522   33.0523     -27.4382
6.45458  33.0708     -27.4384
6.45584  33.0707     -27.4386
6.45919  33.0824     -27.4387
6.45823  33.0827     -27.4388
6.46123  33.1044     -27.439
6.46249  33.1043     -27.4391
6.46531  33.1141     -27.4392
6.46449  33.1143     -27.4393
6.47107  33.1553     -27.4396
6.47255  33.155      -27.4398
6.47597  33.1681     -27.4399
6.47518  33.1683     -27.4399
6.4835   33.2163     -27.4402
6.48463  33.2161     -27.4403
6.4854   33.2186     -27.4403
6.48514  33.2186     -27.4403
6.49013  33.2403     -27.4404
6.48948  33.2405     -27.4404
6.48945  33.2406     -27.4404
6.4895   33.2406     -27.4404
6.48947  33.2408     -27.4404
6.48953  33.2408     -27.4404
6.4895   33.2409     -27.4404
6.48956  33.2409     -27.4404
6.48953  33.2411     -27.4404
6.4896   33.2411     -27.4404
6.48957  33.2413     -27.4404
6.48963  33.2413     -27.4404
6.4896   33.2415     -27.4404
6.48967  33.2415     -27.4404
6.48964  33.2417     -27.4404
6.48971  33.2417     -27.4404
6.48968  33.2419     -27.4404
6.48975  33.2419     -27.4404
6.48973  33.2422     -27.4404
6.48981  33.2422     -27.4404
6.48979  33.2425     -27.4404
6.48987  33.2425     -27.4404
6.48985  33.2429     -27.4404
6.48994  33.2429     -27.4404
6.48993  33.2433     -27.4404
6.49003  33.2433     -27.4405
6.49005  33.244      -27.4405
6.49017  33.244      -27.4405
6.49025  33.2452     -27.4405
6.4904   33.2452     -27.4405
6.49125  33.2511     -27.4405
6.49156  33.2511     -27.4405
6.49185  33.2519     -27.4405
6.49174  33.252      -27.4405
6.49385  33.2609     -27.4405
6.49352  33.261      -27.4405
6.49351  33.2611     -27.4405
6.49356  33.2611     -27.4405
6.49354  33.2613     -27.4405
6.49359  33.2613     -27.4405
6.49358  33.2616     -27.4405
6.49364  33.2616     -27.4405
6.49364  33.2619     -27.4405
6.4937   33.2619     -27.4405
6.49371  33.2623     -27.4405
6.49378  33.2623     -27.4405
6.49384  33.2631     -27.4405
6.49393  33.2631     -27.4405
6.49445  33.2667     -27.4405
6.49464  33.2666     -27.4405
6.49482  33.2672     -27.4405
6.49475  33.2672     -27.4405
6.49592  33.272      -27.4405
6.49572  33.2721     -27.4405
6.49572  33.2722     -27.4405
6.49575  33.2722     -27.4405
6.49575  33.2724     -27.4405
6.49579  33.2724     -27.4405
6.4958   33.2727     -27.4405
6.49585  33.2727     -27.4405
6.49588  33.2732     -27.4405
6.49595  33.2732     -27.4405
6.49629  33.2756     -27.4405
